"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.216788455E2,3.053814462E1,1.143565495E2,2.525643289E1,9.070636534E-1,1.858851443E2,1.421725673E1,1.011387385E1
1.226788198E2,3.053813504E1,1.143565473E2,2.539918726E1,8.484850011E-1,1.860129641E2,1.421891810E1,1.011153803E1
1.236787933E2,3.053812698E1,1.143565425E2,2.501099459E1,8.847755430E-1,1.904183357E2,1.422022257E1,1.010970342E1
1.246787665E2,3.053812318E1,1.143565370E2,2.534675497E1,6.364045186E-1,1.977155852E2,1.422117945E1,1.010835735E1
1.256787405E2,3.053811425E1,1.143565340E2,2.536360672E1,7.065139594E-1,1.988417893E2,1.422260597E1,1.010635012E1
1.266787131E2,3.053810271E1,1.143565272E2,2.571037026E1,9.460215864E-1,2.004059370E2,1.422165801E1,1.010768404E1
1.276786861E2,3.053809498E1,1.143565237E2,2.578180470E1,8.621512552E-1,2.034668544E2,1.422151362E1,1.010788720E1
1.286786603E2,3.053808784E1,1.143565214E2,2.539373935E1,8.398435314E-1,2.050051949E2,1.422274197E1,1.010615873E1
1.296786333E2,3.053808091E1,1.143565197E2,2.531748703E1,7.245198725E-1,2.018956609E2,1.422296466E1,1.010584532E1
1.306786070E2,3.053807283E1,1.143565172E2,2.494376678E1,7.157943735E-1,2.016686152E2,1.422293250E1,1.010589058E1
1.316785802E2,3.053806762E1,1.143565187E2,2.513245950E1,5.344960388E-1,1.957760121E2,1.422334024E1,1.010531671E1
1.326815922E2,3.053805935E1,1.143565142E2,2.505764711E1,7.344355943E-1,1.961259160E2,1.422391656E1,1.010450548E1
1.336815902E2,3.053805259E1,1.143565089E2,2.478448354E1,8.072258373E-1,1.984541869E2,1.422480658E1,1.010325250E1
1.346815469E2,3.053804683E1,1.143565065E2,2.449390030E1,7.020358368E-1,1.989434343E2,1.422412911E1,1.010420627E1
1.356815408E2,3.053803773E1,1.143565012E2,2.486246307E1,8.342837915E-1,2.001363256E2,1.422319046E1,1.010552751E1
1.366815417E2,3.053802867E1,1.143564984E2,2.478758384E1,8.400667571E-1,1.987740402E2,1.422558341E1,1.010215868E1
1.376815009E2,3.053802030E1,1.143564958E2,2.481232601E1,8.070005844E-1,1.981790996E2,1.422587051E1,1.010175438E1
1.386814990E2,3.053801443E1,1.143564949E2,2.473952633E1,6.113457804E-1,1.974441389E2,1.422545920E1,1.010233359E1
1.396814981E2,3.053800410E1,1.143564937E2,2.475867583E1,7.633484799E-1,1.956713340E2,1.422265094E1,1.010628683E1
1.406814598E2,3.053799826E1,1.143564933E2,2.505474632E1,6.687408494E-1,1.949942034E2,1.422260777E1,1.010634758E1
1.416814582E2,3.053799104E1,1.143564917E2,2.503036764E1,7.029342851E-1,1.960708588E2,1.422312353E1,1.010562171E1
1.426814716E2,3.053798304E1,1.143564913E2,2.536561359E1,6.465783907E-1,1.935765130E2,1.422298427E1,1.010581771E1
1.436814394E2,3.053797454E1,1.143564902E2,2.522988153E1,7.213353346E-1,1.923342107E2,1.422289474E1,1.010594373E1
1.446814437E2,3.053796462E1,1.143564867E2,2.534453081E1,8.108037894E-1,1.912681598E2,1.422282758E1,1.010603824E1
1.456814506E2,3.053795765E1,1.143564853E2,2.537844410E1,6.961326900E-1,1.890702503E2,1.422351554E1,1.010506996E1
1.466814154E2,3.053794806E1,1.143564816E2,2.560106517E1,7.720446616E-1,1.903817635E2,1.422143148E1,1.010800277E1
1.476813784E2,3.053794112E1,1.143564798E2,2.570020119E1,7.280849226E-1,1.906834633E2,1.422241223E1,1.010662276E1
1.486813445E2,3.053793329E1,1.143564776E2,2.559489951E1,7.555177697E-1,1.918495942E2,1.422230823E1,1.010676911E1
1.496813089E2,3.053792566E1,1.143564754E2,2.586431086E1,7.714824830E-1,1.925438722E2,1.422217943E1,1.010695036E1
1.506812750E2,3.053791755E1,1.143564706E2,2.601349655E1,8.184246402E-1,1.961527334E2,1.422211838E1,1.010703627E1
1.516812414E2,3.053790872E1,1.143564671E2,2.628861937E1,8.173184453E-1,1.979080642E2,1.422038403E1,1.010947631E1
1.526812086E2,3.053790282E1,1.143564641E2,2.657241048E1,7.100432159E-1,1.984298275E2,1.422187679E1,1.010737621E1
1.536811757E2,3.053789489E1,1.143564644E2,2.612155273E1,7.209621844E-1,1.957254193E2,1.422188450E1,1.010736536E1
1.546811421E2,3.053788910E1,1.143564618E2,2.587679001E1,7.088864334E-1,1.966794178E2,1.422208624E1,1.010708149E1
1.556811110E2,3.053788365E1,1.143564577E2,2.544998109E1,7.242426793E-1,2.016868760E2,1.422082570E1,1.010885502E1
1.566810797E2,3.053787475E1,1.143564549E2,2.552219847E1,8.153750889E-1,2.000152176E2,1.422186060E1,1.010739899E1
1.576810472E2,3.053786655E1,1.143564521E2,2.565230259E1,9.126577579E-1,1.992548548E2,1.422217239E1,1.010696027E1
1.586810168E2,3.053786213E1,1.143564531E2,2.520679788E1,6.427756044E-1,1.962725237E2,1.422229405E1,1.010678906E1
1.596809862E2,3.053785466E1,1.143564526E2,2.533065633E1,6.306987541E-1,1.944627033E2,1.422247748E1,1.010653094E1
1.606809553E2,3.053784825E1,1.143564511E2,2.526909023E1,6.481493997E-1,1.955423932E2,1.422336980E1,1.010527510E1
1.616809250E2,3.053784009E1,1.143564476E2,2.497092072E1,7.967690466E-1,1.968190315E2,1.422389390E1,1.010453738E1
1.626808949E2,3.053783534E1,1.143564448E2,2.540850507E1,5.824044273E-1,1.974434455E2,1.422408247E1,1.010427192E1
1.636808647E2,3.053782702E1,1.143564429E2,2.552221736E1,6.706983164E-1,1.958842728E2,1.422440450E1,1.010381857E1
1.646808357E2,3.053782033E1,1.143564424E2,2.472976875E1,6.433799303E-1,1.963878872E2,1.422516255E1,1.010275130E1
1.656808060E2,3.053781278E1,1.143564410E2,2.467577822E1,6.613884014E-1,1.941055517E2,1.422527794E1,1.010258881E1
1.666807767E2,3.053780689E1,1.143564410E2,2.479860474E1,6.243134891E-1,1.928875399E2,1.422503531E1,1.010293045E1
1.676807473E2,3.053780210E1,1.143564391E2,2.489028996E1,5.949943880E-1,1.961573264E2,1.422436423E1,1.010387528E1
1.686807182E2,3.053779560E1,1.143564385E2,2.501582992E1,5.789742475E-1,1.941781282E2,1.422459639E1,1.010354842E1
1.696806892E2,3.053778505E1,1.143564370E2,2.502142609E1,8.473836897E-1,1.937102195E2,1.422489953E1,1.010312163E1
1.706806604E2,3.053777862E1,1.143564339E2,2.493939619E1,7.819895734E-1,1.957318412E2,1.422407143E1,1.010428747E1
1.716806320E2,3.053777210E1,1.143564324E2,2.483632162E1,7.037445810E-1,1.940975460E2,1.422342747E1,1.010519392E1
1.726806029E2,3.053776412E1,1.143564282E2,2.513517543E1,6.965822463E-1,1.973418868E2,1.422349756E1,1.010509527E1
1.736805749E2,3.053776126E1,1.143564282E2,2.464573499E1,4.689742570E-1,1.973215364E2,1.422542192E1,1.010238608E1
1.746805472E2,3.053775193E1,1.143564260E2,2.448265355E1,6.349570845E-1,1.959565658E2,1.422376204E1,1.010472299E1
1.756805192E2,3.053774247E1,1.143564231E2,2.441679700E1,8.467972801E-1,1.952282017E2,1.422379848E1,1.010467170E1
1.766804913E2,3.053773609E1,1.143564212E2,2.375194145E1,7.369286684E-1,1.967983892E2,1.422459053E1,1.010355667E1
1.776804627E2,3.053772961E1,1.143564187E2,2.374302108E1,7.095343292E-1,1.980182771E2,1.422529761E1,1.010256112E1
1.786804351E2,3.053772290E1,1.143564183E2,2.295169227E1,7.041033241E-1,1.982460208E2,1.422546040E1,1.010233190E1
1.796804073E2,3.053771378E1,1.143564152E2,2.305998719E1,7.834292663E-1,1.982754397E2,1.422579031E1,1.010186733E1
